AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL,all_levels,cod_comuna,Comuna,cat_desempeno_2019,agno_2m,rbd,prom_lect2m_rbd,prom_mate2m_rbd,prom_nat2m_rbd,agno_8b,prom_lect8b_rbd,prom_mate8b_rbd,prom_soc8b_rbd,agno,prom_lect4b_rbd,prom_mate4b_rbd
2020,8485,9,LICEO INSTITUTO NACIONAL, ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.44487089999999,-70.65030401,1,Educación Básica,Enseñanza Media H-C niños y jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Educación Básica/Enseñanza Media H-C niños y jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8485.0,269.0,335.0,285.0,2019.0,257.0,291.0,276.0,,,
2020,8487,5,LICEO JAVIERA CARRERA, ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.43921052,-70.65729306,0,Educación Básica,Enseñanza Media H-C niños y jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Educación Básica/Enseñanza Media H-C niños y jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8487.0,268.0,290.0,270.0,2019.0,246.0,269.0,262.0,,,
2020,8488,3,LICEO ISAURA DINATOR DE GUZMAN, ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.44560481,-70.67929193,0,Educación Básica,Enseñanza Media H-C niños y jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Educación Básica/Enseñanza Media H-C niños y jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8488.0,238.0,235.0,224.0,2019.0,249.0,260.0,238.0,,,
2020,8489,1,LICEO BICENTENARIO TERESA PRATS, ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.47070985,-70.64581436,0,Educación Básica,Enseñanza Media H-C niños y jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Educación Básica/Enseñanza Media H-C niños y jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8489.0,250.0,250.0,226.0,2019.0,252.0,257.0,249.0,,,
2020,8490,5,LICEO NRO 2 MIGUEL LUIS AMUNATEGUI, ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.44366876,-70.67585032,0,Educación Básica,Enseñanza Media H-C niños y jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Educación Básica/Enseñanza Media H-C niños y jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8490.0,222.0,208.0,210.0,2019.0,203.0,228.0,222.0,,,
2020,8491,3,LICEO DE APLICACION RECTOR JORGE E SCHNE, ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.44093916,-70.66271986,1,Educación Básica,Educación Básica Adultos Sin Oficios,Enseñanza Media H-C niños y jóvenes,Educación Media H-C Adultos,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Educación Básica/Educación Básica Adultos Sin Oficios/Enseñanza Media H-C niños y jóvenes/Educación Media H-C Adultos/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8491.0,235.0,254.0,233.0,2019.0,220.0,257.0,239.0,,,
2020,8492,1,LICEO MANUEL BARROS BORGONO, ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.46696348999999,-70.64888825,1,Educación Básica,Enseñanza Media H-C niños y jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Educación Básica/Enseñanza Media H-C niños y jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8492.0,233.0,252.0,229.0,2019.0,240.0,272.0,242.0,,,
2020,8494,8,LICEO A-1 VALENTIN LETELIER, ,69254800,1,13,RM,131,13127,RECOLETA,137,SANTIAGO NORTE,2,1,URBANO,-33.42673966,-70.64545088,1,Enseñanza Media H-C niños y jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,NO ESPECIFICADA,LAICO,GRATUITO,GRATUITO,Enseñanza Media H-C niños y jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13127,Recoleta,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8494.0,217.0,218.0,202.0,,,,,,,
2020,8495,6,LICEO CONFEDERACION SUIZA, ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.451304,-70.63777581,1,Enseñanza Media H-C niños y jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Enseñanza Media H-C niños y jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8495.0,209.0,212.0,210.0,,,,,,,
2020,8496,4,LICEO JOSÉ DE SAN MARTIN, ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.45613414,-70.65322898,1,Enseñanza Media H-C niños y jóvenes,Enseñanza Media T-P Técnica Niños y Jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Enseñanza Media H-C niños y jóvenes/Enseñanza Media T-P Técnica Niños y Jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8496.0,230.0,225.0,220.0,,,,,,,
2020,8497,2,LICEO GABRIELA MISTRAL, ,69255500,1,13,RM,131,13108,INDEPENDENCIA,137,SANTIAGO NORTE,2,1,URBANO,-33.4160467,-70.65675624,1,Educación Parvularia,Educación Básica,Educación Básica Adultos Sin Oficios,Enseñanza Media H-C niños y jóvenes,Educación Media H-C Adultos,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Educación Parvularia/Educación Básica/Educación Básica Adultos Sin Oficios/Enseñanza Media H-C niños y jóvenes/Educación Media H-C Adultos/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13108,Independencia,MEDIO-BAJO,2018.0,8497.0,244.0,229.0,217.0,2019.0,238.0,220.0,249.0,2018.0,266.0,244.0
2020,8498,0,LICEO DARIO SALAS, ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.455643,-70.66915552,1,Educación Básica,Enseñanza Media H-C niños y jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Educación Básica/Enseñanza Media H-C niños y jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8498.0,226.0,213.0,219.0,2019.0,219.0,219.0,220.0,,,
2020,8499,9,INTERNADO NACIONAL BARROS ARANA, ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.4388735,-70.68307302,1,Educación Básica,Enseñanza Media H-C niños y jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Educación Básica/Enseñanza Media H-C niños y jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8499.0,232.0,258.0,235.0,2019.0,220.0,256.0,230.0,,,
2020,8500,6,LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS, ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.43735876,-70.66281847,1,Enseñanza Media H-C niños y jóvenes,Enseñanza Media T-P Industrial Niños y Jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Enseñanza Media H-C niños y jóvenes/Enseñanza Media T-P Industrial Niños y Jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8500.0,217.0,224.0,213.0,,,,,,,
2020,8501,4,LICEO POLITEC. PDTE. GABRIEL GONZALEZ VIDELA, ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.45007738,-70.63732245,1,Educación Básica,Enseñanza Media H-C niños y jóvenes,Enseñanza Media T-P Comercial Niños y Jóvenes,Educación Media T-P Comercial Adultos,Enseñanza Media T-P Técnica Niños y Jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Educación Básica/Enseñanza Media H-C niños y jóvenes/Enseñanza Media T-P Comercial Niños y Jóvenes/Educación Media T-P Comercial Adultos/Enseñanza Media T-P Técnica Niños y Jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8501.0,229.0,224.0,212.0,2019.0,224.0,211.0,241.0,,,
2020,8502,2,LICEO COMERCIAL LUIS CORREA PRIETO, ,71499900,1,13,RM,131,13127,RECOLETA,137,SANTIAGO NORTE,5,4,URBANO,-33.42213647,-70.64351607,0,Enseñanza Media H-C niños y jóvenes,Enseñanza Media T-P Comercial Niños y Jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Enseñanza Media H-C niños y jóvenes/Enseñanza Media T-P Comercial Niños y Jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13127,Recoleta,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8502.0,229.0,248.0,230.0,,,,,,,
2020,8503,0,INST.SUP.DE COMERCIO EDUARDO FREI M., ,69070100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,2,1,URBANO,-33.44209714,-70.65630131,0,Educación Básica,Enseñanza Media H-C niños y jóvenes,Enseñanza Media T-P Comercial Niños y Jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Educación Básica/Enseñanza Media H-C niños y jóvenes/Enseñanza Media T-P Comercial Niños y Jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8503.0,246.0,257.0,243.0,2019.0,240.0,246.0,250.0,,,
2020,8504,9,LICEO TECNICO A N° 27 CLELIA CLAVEL DINAT, ,71499900,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,5,4,URBANO,-33.44304696999999,-70.67052414,0,Enseñanza Media H-C niños y jóvenes,Enseñanza Media T-P Técnica Niños y Jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Enseñanza Media H-C niños y jóvenes/Enseñanza Media T-P Técnica Niños y Jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8504.0,227.0,225.0,211.0,,,,,,,
2020,8505,7,LICEO POLIVALENTE A-28 EMILIA TORO DE BAL, ,70729100,1,13,RM,131,13101,SANTIAGO,131,SANTIAGO CENTRO,5,4,URBANO,-33.44102148999999,-70.67965152,0,Enseñanza Media T-P Comercial Niños y Jóvenes,Enseñanza Media T-P Técnica Niños y Jóvenes,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,1,LAICA, ,GRATUITO,GRATUITO,Enseñanza Media T-P Comercial Niños y Jóvenes/Enseñanza Media T-P Técnica Niños y Jóvenes/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica/No Aplica,13101,Santiago,SIN CATEGORIA: FALTA DE INFORMACIÓN,2018.0,8505.0,239.0,234.0,217.0,,,,,,,
